Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Subcategory,Quantity,Unit_Price,Discount,Revenue,Payment_Method,Customer_Type,Marketing_Channel
O000001,17-01-24,C02392,Customer 02392,Male,38,Kozhikode,Kerala,South,P010,Backpack 25L,Fashion,Bags,3,1599,0%,4797.00,Cash on Delivery,New,Instagram
O000001,17-01-24,C02392,Customer 02392,Male,38,Kozhikode,Kerala,South,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0%,23500.00,Cash on Delivery,New,Instagram
O000002,02-12-24,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P016,Face Wash,Beauty & Personal Care,Skincare,1,399,10%,359.10,UPI,Returning,Instagram
O000002,02-12-24,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P022,Exam Preparation Set,Books,Education,1,1299,10%,1169.10,UPI,Returning,Instagram
O000002,02-12-24,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P008,Denim Jeans,Fashion,Apparel,1,1899,0%,1899.00,UPI,Returning,Instagram
O000003,15-07-24,C00781,Customer 00781,Male,23,Madurai,Tamil Nadu,South,P007,Cotton T-Shirt,Fashion,Apparel,2,899,10%,1618.20,UPI,New,Instagram
O000004,05-08-25,C01521,Customer 01521,Female,28,Cuttack,Odisha,East,P008,Denim Jeans,Fashion,Apparel,1,1899,10%,1709.10,Cash on Delivery,Returning,Organic
O000005,03-05-25,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,15%,678.30,Debit Card,Returning,Organic
O000005,03-05-25,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P010,Backpack 25L,Fashion,Bags,1,1599,10%,1439.10,Debit Card,Returning,Organic
O000005,03-05-25,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,5%,1899.05,Debit Card,Returning,Organic
O000006,17-09-25,C04081,Customer 04081,Male,27,Chennai,Tamil Nadu,South,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,10%,1799.10,UPI,Returning,Organic
O000006,17-09-25,C04081,Customer 04081,Male,27,Chennai,Tamil Nadu,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0%,4499.00,UPI,Returning,Organic
O000007,24-03-24,C02234,Customer 02234,Female,34,Kolkata,West Bengal,East,P010,Backpack 25L,Fashion,Bags,2,1599,10%,2878.20,UPI,Returning,Email
O000008,22-02-25,C04339,Customer 04339,Female,38,Noida,Uttar Pradesh,North,P018,Trimmer,Beauty & Personal Care,Grooming,2,1599,10%,2878.20,Net Banking,Returning,Google
