Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Subcategory,Quantity,Unit_Price,Discount,Revenue,Payment_Method,Customer_Type,Marketing_Channel
O000001,2024-01-17,C02392,Customer 02392,Male,38,Kozhikode,Kerala,South,P001,Smartphone X1,Electronics,Mobile Phones,1,23500,0.0,23500.0,Cash on Delivery,New,Instagram
O000001,2024-01-17,C02392,Customer 02392,Male,38,Kozhikode,Kerala,South,P010,Backpack 25L,Fashion,Bags,3,1599,0.0,4797.0,Cash on Delivery,New,Instagram
O000002,2024-12-02,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P016,Face Wash,Beauty & Personal Care,Skincare,1,399,0.1,359.1,UPI,Returning,Instagram
O000002,2024-12-02,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P022,Exam Preparation Set,Books,Education,1,1299,0.1,1169.1,UPI,Returning,Instagram
O000002,2024-12-02,C00116,Customer 00116,Male,27,Kochi,Kerala,South,P008,Denim Jeans,Fashion,Apparel,1,1899,0.0,1899.0,UPI,Returning,Instagram
O000003,2024-07-15,C00781,Customer 00781,Male,23,Madurai,Tamil Nadu,South,P007,Cotton T-Shirt,Fashion,Apparel,2,899,0.1,1618.2,UPI,New,Instagram
O000004,2025-08-05,C01521,Customer 01521,Female,28,Cuttack,Odisha,East,P008,Denim Jeans,Fashion,Apparel,1,1899,0.1,1709.1,Cash on Delivery,Returning,Organic
O000005,2025-05-03,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P010,Backpack 25L,Fashion,Bags,1,1599,0.1,1439.1,Debit Card,Returning,Organic
O000005,2025-05-03,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P016,Face Wash,Beauty & Personal Care,Skincare,2,399,0.15,678.3,Debit Card,Returning,Organic
O000005,2025-05-03,C04488,Customer 04488,Male,32,Indore,Madhya Pradesh,Central,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.05,1899.05,Debit Card,Returning,Organic
O000006,2025-09-17,C04081,Customer 04081,Male,27,Chennai,Tamil Nadu,South,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.1,1799.1,UPI,Returning,Organic
O000006,2025-09-17,C04081,Customer 04081,Male,27,Chennai,Tamil Nadu,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.0,4499.0,UPI,Returning,Organic
O000007,2024-03-24,C02234,Customer 02234,Female,34,Kolkata,West Bengal,East,P010,Backpack 25L,Fashion,Bags,2,1599,0.1,2878.2,UPI,Returning,Email
O000008,2025-02-22,C04339,Customer 04339,Female,38,Noida,Uttar Pradesh,North,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.0,2999.0,Net Banking,Returning,Google
O000008,2025-02-22,C04339,Customer 04339,Female,38,Noida,Uttar Pradesh,North,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.1,3599.1,Net Banking,Returning,Google
O000008,2025-02-22,C04339,Customer 04339,Female,38,Noida,Uttar Pradesh,North,P018,Trimmer,Beauty & Personal Care,Grooming,2,1599,0.1,2878.2,Net Banking,Returning,Google
O000009,2025-12-27,C01466,Customer 01466,Female,41,New Delhi,Delhi,North,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.15,1529.15,Wallet,Returning,Affiliate
O000010,2025-12-27,C04332,Customer 04332,Male,20,Mumbai,Maharashtra,West,P023,Novel Collection,Books,Books,2,799,0.15,1358.3,Net Banking,Returning,Organic
O000010,2025-12-27,C04332,Customer 04332,Male,20,Mumbai,Maharashtra,West,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.1,3599.1,Net Banking,Returning,Organic
O000011,2024-08-16,C02319,Customer 02319,Male,28,Delhi,Delhi,North,P018,Trimmer,Beauty & Personal Care,Grooming,3,1599,0.1,4317.3,UPI,Returning,Google
O000012,2025-11-26,C01461,Customer 01461,Male,32,Hyderabad,Telangana,South,P013,Mixer Grinder,Home & Kitchen,Appliances,2,4499,0.1,8098.2,Debit Card,Returning,Organic
O000012,2025-11-26,C01461,Customer 01461,Male,32,Hyderabad,Telangana,South,P002,Wireless Earbuds Pro,Electronics,Audio,1,3499,0.1,3149.1,Debit Card,Returning,Organic
O000013,2024-11-23,C01964,Customer 01964,Female,36,Mangaluru,Karnataka,South,P004,Power Bank 20000mAh,Electronics,Accessories,1,1999,0.1,1799.1,Credit Card,Returning,Affiliate
O000013,2024-11-23,C01964,Customer 01964,Female,36,Mangaluru,Karnataka,South,P014,Air Fryer,Home & Kitchen,Appliances,1,5999,0.2,4799.2,Credit Card,Returning,Affiliate
O000013,2024-11-23,C01964,Customer 01964,Female,36,Mangaluru,Karnataka,South,P007,Cotton T-Shirt,Fashion,Apparel,2,899,0.1,1618.2,Credit Card,Returning,Affiliate
O000014,2024-07-09,C03315,Customer 03315,Female,30,Panipat,Haryana,North,P021,Cricket Bat,Sports & Fitness,Sports,3,3999,0.05,11397.15,Credit Card,Returning,Facebook
O000015,2024-05-03,C03532,Customer 03532,Male,33,Ludhiana,Punjab,North,P021,Cricket Bat,Sports & Fitness,Sports,2,3999,0.0,7998.0,UPI,New,Affiliate
O000016,2025-03-23,C03887,Customer 03887,Male,37,New Delhi,Delhi,North,P011,Kurta Set,Fashion,Ethnic Wear,1,1799,0.0,1799.0,Net Banking,Returning,Google
O000016,2025-03-23,C03887,Customer 03887,Male,37,New Delhi,Delhi,North,P022,Exam Preparation Set,Books,Education,1,1299,0.05,1234.05,Net Banking,Returning,Google
O000017,2025-04-15,C04857,Customer 04857,Male,28,Rourkela,Odisha,East,P012,Non-stick Cookware Set,Home & Kitchen,Cookware,1,2999,0.1,2699.1,Credit Card,Returning,Email
O000018,2024-03-04,C03815,Customer 03815,Male,55,Vijayawada,Andhra Pradesh,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.1,4049.1,Net Banking,New,Instagram
O000018,2024-03-04,C03815,Customer 03815,Male,55,Vijayawada,Andhra Pradesh,South,P021,Cricket Bat,Sports & Fitness,Sports,1,3999,0.2,3199.2,Net Banking,New,Instagram
O000019,2025-03-01,C03588,Customer 03588,Female,18,Kozhikode,Kerala,South,P003,Bluetooth Speaker,Electronics,Audio,1,4499,0.0,4499.0,UPI,New,Organic
O000020,2025-05-08,C04380,Customer 04380,Female,30,Ludhiana,Punjab,North,P023,Novel Collection,Books,Books,1,799,0.15,679.15,Credit Card,Returning,Google
