month,total_revenue,previous_month_revenue,mom_revenue_growth_pct
2024-01,6148676.50,NULL,NULL
2024-02,4477971.70,6148676.50,-27.17
2024-03,4919712.60,4477971.70,9.86
2024-04,4745949.55,4919712.60,-3.53
2024-05,5404088.80,4745949.55,13.87
2024-06,4650192.25,5404088.80,-13.95
2024-07,5078320.75,4650192.25,9.21
2024-08,4280339.90,5078320.75,-15.71
2024-09,4428027.00,4280339.90,3.45
2024-10,4405870.75,4428027.00,-0.50
2024-11,4989975.45,4405870.75,13.26
2024-12,5238708.00,4989975.45,4.98
2025-01,5365071.10,5238708.00,2.41
2025-02,5359288.45,5365071.10,-0.11
2025-03,4579530.35,5359288.45,-14.55
2025-04,4771560.50,4579530.35,4.19
2025-05,4753060.35,4771560.50,-0.39
2025-06,4721608.35,4753060.35,-0.66
2025-07,4787702.15,4721608.35,1.40
2025-08,5148882.00,4787702.15,7.54
2025-09,4727610.25,5148882.00,-8.18
2025-10,4533544.70,4727610.25,-4.10
2025-11,4584059.05,4533544.70,1.11
2025-12,5625009.90,4584059.05,22.71
