Product_Name,Category,total_revenue,total_orders,revenue_per_order
"Laptop Air 14",Electronics,50009780.00,770,64947.77
"Smartphone X1",Electronics,21421425.00,713,30044.07
"Air Fryer","Home & Kitchen",6021796.20,756,7965.34
"Mixer Grinder","Home & Kitchen",4371003.45,743,5882.91
"Bluetooth Speaker",Electronics,4078343.50,719,5672.24
"Cricket Bat","Sports & Fitness",3789852.30,716,5293.09
"Wireless Earbuds Pro",Electronics,3365513.15,718,4687.34
"Running Shoes",Fashion,2885487.85,727,3969.03
"Non-stick Cookware Set","Home & Kitchen",2853398.55,738,3866.39
"Dumbbell Set","Sports & Fitness",2415533.40,739,3268.65
