cohort_month,months_since_first_purchase,active_customers
2024-01,0,430
2024-01,1,48
2024-01,2,46
2024-01,3,39
2024-01,4,42
2024-01,5,44
2024-01,6,45
2024-01,7,33
2024-01,8,44
2024-01,9,35
2024-01,10,52
2024-01,11,40
2024-01,12,41
2024-01,13,44
2024-01,14,41
2024-01,15,51
2024-01,16,47
2024-01,17,48
2024-01,18,44
2024-01,19,36
2024-01,20,39
2024-01,21,43
2024-01,22,45
2024-02,0,354
2024-02,1,41
2024-02,2,37
2024-02,3,29
2024-02,4,40
2024-02,5,25
2024-02,6,31
2024-02,7,25
2024-02,8,25
2024-02,9,27
2024-02,10,40
2024-02,11,33
2024-02,12,44
2024-02,13,37
2024-02,14,48
2024-02,15,33
2024-02,16,32
2024-02,17,42
2024-02,18,34
2024-02,19,33
2024-02,20,33
2024-02,21,36
2024-02,22,2
2024-03,0,345
2024-03,1,43
2024-03,2,28
2024-03,3,36
2024-03,4,34
2024-03,5,34
2024-03,6,37
2024-03,7,43
2024-03,8,35
2024-03,9,32
2024-03,10,33
2024-03,11,37
2024-03,12,34
2024-03,13,32
2024-03,14,33
2024-03,15,40
2024-03,16,36
2024-03,17,33
2024-03,18,34
2024-03,19,34
2024-03,20,44
2024-03,21,2
2024-04,0,280
2024-04,1,25
2024-04,2,28
2024-04,3,22
2024-04,4,24
2024-04,5,28
2024-04,6,27
2024-04,7,32
2024-04,8,33
2024-04,9,20
2024-04,10,31
2024-04,11,23
2024-04,12,28
2024-04,13,26
2024-04,14,27
2024-04,15,35
2024-04,16,25
2024-04,17,25
2024-04,18,24
2024-04,19,29
2024-05,0,269
2024-05,1,30
2024-05,2,22
2024-05,3,23
2024-05,4,21
2024-05,5,23
2024-05,6,30
2024-05,7,25
2024-05,8,22
2024-05,9,20
2024-05,10,22
2024-05,11,28
2024-05,12,29
2024-05,13,29
2024-05,14,24
2024-05,15,29
2024-05,16,40
2024-05,17,19
2024-05,18,31
2024-05,19,1
2024-06,0,223
2024-06,1,14
2024-06,2,14
2024-06,3,18
2024-06,4,16
2024-06,5,20
2024-06,6,23
2024-06,7,16
2024-06,8,20
2024-06,9,18
2024-06,10,20
2024-06,11,21
2024-06,12,25
2024-06,13,20
2024-06,14,20
2024-06,15,22
2024-06,16,15
2024-06,17,14
2024-06,18,2
2024-07,0,216
2024-07,1,23
2024-07,2,29
2024-07,3,17
2024-07,4,19
2024-07,5,15
2024-07,6,22
2024-07,7,24
2024-07,8,15
2024-07,9,17
2024-07,10,19
2024-07,11,16
2024-07,12,17
2024-07,13,12
2024-07,14,24
2024-07,15,15
2024-07,16,28
2024-08,0,180
2024-08,1,15
2024-08,2,17
2024-08,3,14
2024-08,4,13
2024-08,5,19
2024-08,6,15
2024-08,7,9
2024-08,8,18
2024-08,9,13
2024-08,10,15
2024-08,11,14
2024-08,12,19
2024-08,13,16
2024-08,14,22
2024-08,15,24
2024-08,16,1
2024-09,0,173
2024-09,1,18
2024-09,2,17
2024-09,3,14
2024-09,4,11
2024-09,5,10
2024-09,6,17
2024-09,7,18
2024-09,8,17
2024-09,9,13
2024-09,10,19
2024-09,11,17
2024-09,12,14
2024-09,13,15
2024-09,14,14
2024-09,15,1
2024-10,0,146
2024-10,1,9
2024-10,2,9
2024-10,3,11
2024-10,4,12
2024-10,5,13
2024-10,6,15
2024-10,7,13
2024-10,8,8
2024-10,9,12
2024-10,10,10
2024-10,11,10
2024-10,12,7
2024-10,13,13
2024-11,0,145
2024-11,1,14
2024-11,2,9
2024-11,3,18
2024-11,4,10
2024-11,5,15
2024-11,6,17
2024-11,7,13
2024-11,8,13
2024-11,9,11
2024-11,10,12
2024-11,11,10
2024-11,12,15
2024-12,0,129
2024-12,1,15
2024-12,2,16
2024-12,3,9
2024-12,4,6
2024-12,5,13
2024-12,6,11
2024-12,7,17
2024-12,8,11
2024-12,9,9
2024-12,10,11
2024-12,11,10
2024-12,12,1
2025-01,0,116
2025-01,1,14
2025-01,2,9
2025-01,3,12
2025-01,4,13
2025-01,5,5
2025-01,6,7
2025-01,7,9
2025-01,8,12
2025-01,9,7
2025-01,10,14
2025-02,0,104
2025-02,1,7
2025-02,2,5
2025-02,3,7
2025-02,4,12
2025-02,5,10
2025-02,6,11
2025-02,7,10
2025-02,8,8
2025-02,9,7
2025-02,10,1
2025-03,0,107
2025-03,1,10
2025-03,2,11
2025-03,3,4
2025-03,4,9
2025-03,5,8
2025-03,6,10
2025-03,7,13
2025-03,8,10
2025-04,0,90
2025-04,1,1
2025-04,2,6
2025-04,3,7
2025-04,4,6
2025-04,5,3
2025-04,6,7
2025-04,7,5
2025-05,0,90
2025-05,1,2
2025-05,2,9
2025-05,3,6
2025-05,4,6
2025-05,5,8
2025-05,6,8
2025-06,0,87
2025-06,1,8
2025-06,2,11
2025-06,3,9
2025-06,4,7
2025-06,5,7
2025-07,0,63
2025-07,1,4
2025-07,2,5
2025-07,3,3
2025-07,4,4
2025-08,0,80
2025-08,1,6
2025-08,2,9
2025-08,3,7
2025-09,0,51
2025-09,1,4
2025-09,2,7
2025-10,0,53
2025-10,1,6
2025-11,0,49
2025-12,0,71
