cohort_month,months_since_first_purchase,active_customers,cohort_size,retention_percentage
2024-01,0,430,430,100.00
2024-01,1,48,430,11.16
2024-01,2,46,430,10.70
2024-01,3,39,430,9.07
2024-01,4,42,430,9.77
2024-01,5,44,430,10.23
2024-01,6,45,430,10.47
2024-01,7,33,430,7.67
2024-01,8,44,430,10.23
2024-01,9,35,430,8.14
2024-01,10,52,430,12.09
2024-01,11,40,430,9.30
2024-01,12,41,430,9.53
2024-01,13,44,430,10.23
2024-01,14,41,430,9.53
2024-01,15,51,430,11.86
2024-01,16,47,430,10.93
2024-01,17,48,430,11.16
2024-01,18,44,430,10.23
2024-01,19,36,430,8.37
2024-01,20,39,430,9.07
2024-01,21,43,430,10.00
2024-01,22,45,430,10.47
2024-02,0,354,354,100.00
2024-02,1,41,354,11.58
2024-02,2,37,354,10.45
2024-02,3,29,354,8.19
2024-02,4,40,354,11.30
2024-02,5,25,354,7.06
2024-02,6,31,354,8.76
2024-02,7,25,354,7.06
2024-02,8,25,354,7.06
2024-02,9,27,354,7.63
2024-02,10,40,354,11.30
2024-02,11,33,354,9.32
2024-02,12,44,354,12.43
2024-02,13,37,354,10.45
2024-02,14,48,354,13.56
2024-02,15,33,354,9.32
2024-02,16,32,354,9.04
2024-02,17,42,354,11.86
2024-02,18,34,354,9.60
2024-02,19,33,354,9.32
2024-02,20,33,354,9.32
2024-02,21,36,354,10.17
2024-02,22,2,354,0.56
2024-03,0,345,345,100.00
2024-03,1,43,345,12.46
2024-03,2,28,345,8.12
2024-03,3,36,345,10.43
2024-03,4,34,345,9.86
2024-03,5,34,345,9.86
2024-03,6,37,345,10.72
2024-03,7,43,345,12.46
2024-03,8,35,345,10.14
2024-03,9,32,345,9.28
2024-03,10,33,345,9.57
2024-03,11,37,345,10.72
2024-03,12,34,345,9.86
2024-03,13,32,345,9.28
2024-03,14,33,345,9.57
2024-03,15,40,345,11.59
2024-03,16,36,345,10.43
2024-03,17,33,345,9.57
2024-03,18,34,345,9.86
2024-03,19,34,345,9.86
2024-03,20,44,345,12.75
2024-03,21,2,345,0.58
2024-04,0,280,280,100.00
2024-04,1,25,280,8.93
2024-04,2,28,280,10.00
2024-04,3,22,280,7.86
2024-04,4,24,280,8.57
2024-04,5,28,280,10.00
2024-04,6,27,280,9.64
2024-04,7,32,280,11.43
2024-04,8,33,280,11.79
2024-04,9,20,280,7.14
2024-04,10,31,280,11.07
2024-04,11,23,280,8.21
2024-04,12,28,280,10.00
2024-04,13,26,280,9.29
2024-04,14,27,280,9.64
2024-04,15,35,280,12.50
2024-04,16,25,280,8.93
2024-04,17,25,280,8.93
2024-04,18,24,280,8.57
2024-04,19,29,280,10.36
2024-05,0,269,269,100.00
2024-05,1,30,269,11.15
2024-05,2,22,269,8.18
2024-05,3,23,269,8.55
2024-05,4,21,269,7.81
