Customer_ID,cohort_month,order_month,months_since_first_purchase
C00001,2025-08,2025-08,0
C00002,2024-01,2024-01,0
C00002,2024-01,2024-07,5
C00002,2024-01,2025-04,14
C00002,2024-01,2025-05,15
C00002,2024-01,2025-06,16
C00003,2024-10,2024-10,0
C00003,2024-10,2025-03,4
C00003,2024-10,2025-10,11
C00004,2024-06,2024-06,0
C00005,2024-07,2024-07,0
C00006,2024-07,2024-07,0
C00006,2024-07,2024-08,0
C00006,2024-07,2024-09,1
C00006,2024-07,2024-10,2
C00006,2024-07,2025-02,6
C00006,2024-07,2025-10,14
C00007,2025-08,2025-08,0
C00007,2025-08,2025-11,2
C00008,2024-06,2024-06,0
C00008,2024-06,2024-10,3
C00008,2024-06,2024-12,5
C00008,2024-06,2025-01,6
C00008,2024-06,2025-05,10
C00009,2024-08,2024-08,0
C00009,2024-08,2024-12,3
C00010,2024-06,2024-06,0
C00010,2024-06,2025-01,6
C00010,2024-06,2025-06,11
C00010,2024-06,2025-09,14
C00011,2025-08,2025-08,0
C00011,2025-08,2025-12,3
C00012,2024-06,2024-06,0
C00012,2024-06,2024-11,4
C00012,2024-06,2025-01,6
C00012,2024-06,2025-05,10
C00012,2024-06,2025-10,15
C00014,2025-07,2025-07,0
C00016,2024-01,2024-01,0
C00016,2024-01,2024-02,1
C00016,2024-01,2024-11,10
C00016,2024-01,2025-05,16
C00017,2024-02,2024-02,0
C00017,2024-02,2024-12,9
C00018,2025-09,2025-09,0
C00018,2025-09,2025-10,0
C00018,2025-09,2025-11,1
C00019,2024-02,2024-02,0
C00020,2025-01,2025-01,0
C00021,2025-01,2025-01,0
C00021,2025-01,2025-06,4
C00022,2024-01,2024-01,0
C00022,2024-01,2024-02,0
C00022,2024-01,2024-12,10
C00022,2024-01,2025-03,13
C00022,2024-01,2025-07,17
C00024,2024-09,2024-09,0
C00024,2024-09,2025-04,6
C00024,2024-09,2025-08,10
C00024,2024-09,2025-09,11
C00025,2024-01,2024-01,0
C00025,2024-01,2025-04,14
C00026,2024-02,2024-02,0
C00026,2024-02,2024-05,2
C00026,2024-02,2025-01,10
C00027,2025-05,2025-05,0
C00029,2024-05,2024-05,0
C00029,2024-05,2024-07,1
C00029,2024-05,2025-06,12
C00030,2024-08,2024-08,0
C00030,2024-08,2025-09,12
C00031,2024-03,2024-03,0
C00031,2024-03,2024-08,4
C00031,2024-03,2025-02,10
C00031,2024-03,2025-03,11
C00032,2025-02,2025-02,0
C00033,2025-04,2025-04,0
C00034,2024-08,2024-08,0
C00034,2024-08,2025-02,5
C00035,2024-02,2024-02,0
C00035,2024-02,2025-01,10
C00035,2024-02,2025-09,18
C00036,2024-07,2024-07,0
C00036,2024-07,2025-03,7
C00036,2024-07,2025-11,15
C00037,2025-09,2025-09,0
C00038,2025-02,2025-02,0
C00038,2025-02,2025-07,4
C00039,2024-04,2024-04,0
C00039,2024-04,2024-11,6
C00039,2024-04,2024-12,7
C00039,2024-04,2025-03,10
C00039,2024-04,2025-06,13
C00039,2024-04,2025-10,17
C00039,2024-04,2025-12,19
C00040,2025-12,2025-12,0
C00043,2025-11,2025-11,0
C00044,2024-07,2024-07,0
C00044,2024-07,2024-12,4
C00044,2024-07,2025-04,8
C00044,2024-07,2025-11,15
C00044,2024-07,2025-12,16
C00047,2024-08,2024-08,0
C00047,2024-08,2025-04,7
C00047,2024-08,2025-10,13
C00047,2024-08,2025-11,14
C00048,2024-09,2024-09,0
C00050,2024-02,2024-02,0
C00050,2024-02,2025-06,15
C00050,2024-02,2025-11,20
C00051,2024-06,2024-06,0
C00051,2024-06,2025-06,11
C00051,2024-06,2025-08,13
C00052,2024-05,2024-05,0
C00052,2024-05,2024-10,4
C00052,2024-05,2025-01,7
C00052,2024-05,2025-05,11
C00052,2024-05,2025-10,16
C00053,2025-08,2025-08,0
C00054,2025-09,2025-09,0
C00055,2024-02,2024-02,0
C00055,2024-02,2025-05,14
C00055,2024-02,2025-12,21
C00056,2024-06,2024-06,0
C00056,2024-06,2024-09,2
C00056,2024-06,2025-02,7
C00057,2024-04,2024-04,0
C00057,2024-04,2024-09,4
C00057,2024-04,2025-09,16
C00058,2024-10,2024-10,0
C00058,2024-10,2025-07,8
C00060,2025-12,2025-12,0
C00062,2024-09,2024-09,0
C00065,2024-07,2024-07,0
C00065,2024-07,2024-10,2
C00065,2024-07,2025-11,15
C00067,2025-02,2025-02,0
C00071,2024-03,2024-03,0
C00071,2024-03,2024-06,2
C00071,2024-03,2024-11,7
C00073,2025-04,2025-04,0
C00074,2024-07,2024-07,0
C00074,2024-07,2024-08,0
C00074,2024-07,2025-03,7
C00075,2024-11,2024-11,0
C00075,2024-11,2025-01,1
C00075,2024-11,2025-03,3
C00076,2024-07,2024-07,0
C00077,2024-02,2024-02,0
C00078,2024-07,2024-07,0
C00078,2024-07,2024-09,1
C00078,2024-07,2024-11,3
C00078,2024-07,2025-05,9
C00079,2024-04,2024-04,0
C00079,2024-04,2024-05,0
C00079,2024-04,2025-09,16
C00080,2024-06,2024-06,0
C00080,2024-06,2025-01,6
C00081,2025-05,2025-05,0
C00082,2024-03,2024-03,0
C00082,2024-03,2024-08,4
C00082,2024-03,2025-08,16
C00082,2024-03,2025-09,17
C00083,2024-07,2024-07,0
C00083,2024-07,2024-09,1
C00084,2024-04,2024-04,0
C00085,2025-08,2025-08,0
C00086,2024-02,2024-02,0
C00086,2024-02,2024-03,0
C00086,2024-02,2024-05,2
C00086,2024-02,2024-07,4
C00086,2024-02,2024-10,7
C00086,2024-02,2025-02,11
C00086,2024-02,2025-03,12
C00086,2024-02,2025-04,13
C00086,2024-02,2025-08,17
C00087,2024-07,2024-07,0
C00087,2024-07,2025-03,7
C00087,2024-07,2025-12,16
C00088,2024-02,2024-02,0
C00088,2024-02,2024-07,4
C00088,2024-02,2025-12,21
C00089,2024-06,2024-06,0
C00090,2025-07,2025-07,0
C00091,2025-11,2025-11,0
C00092,2025-08,2025-08,0
C00093,2024-01,2024-01,0
C00094,2025-12,2025-12,0
C00097,2024-10,2024-10,0
C00098,2024-05,2024-05,0
C00098,2024-05,2024-07,1
C00098,2024-05,2024-12,6
C00098,2024-05,2025-05,11
C00100,2025-03,2025-03,0
C00100,2025-03,2025-11,7
C00103,2024-05,2024-05,0
C00104,2025-03,2025-03,0
C00106,2025-08,2025-08,0
C00106,2025-08,2025-09,0
C00107,2024-05,2024-05,0
C00107,2024-05,2024-06,0
C00107,2024-05,2025-10,16
C00107,2024-05,2025-12,18
C00108,2024-02,2024-02,0
C00108,2024-02,2024-05,2
C00108,2024-02,2024-08,5
C00108,2024-02,2025-02,11
C00108,2024-02,2025-05,14
C00108,2024-02,2025-08,17
C00109,2024-01,2024-01,0
C00109,2024-01,2024-02,0
C00109,2024-01,2024-11,9
C00109,2024-01,2025-11,21
C00110,2024-05,2024-05,0
C00110,2024-05,2024-09,3
C00110,2024-05,2024-10,4
C00110,2024-05,2025-03,9
C00110,2024-05,2025-11,17
C00112,2024-02,2024-02,0
C00112,2024-02,2025-04,13
C00112,2024-02,2025-05,14
C00112,2024-02,2025-09,18
C00113,2025-12,2025-12,0
C00115,2024-08,2024-08,0
C00115,2024-08,2024-11,2
C00116,2024-05,2024-05,0
C00116,2024-05,2024-12,6
C00117,2024-06,2024-06,0
C00117,2024-06,2025-09,14
C00118,2024-10,2024-10,0
C00120,2024-03,2024-03,0
C00120,2024-03,2024-12,8
C00120,2024-03,2025-06,14
C00121,2024-01,2024-01,0
C00121,2024-01,2024-02,0
C00121,2024-01,2024-06,4
C00121,2024-01,2024-08,6
C00121,2024-01,2024-12,10
C00121,2024-01,2025-01,11
C00121,2024-01,2025-06,16
C00122,2024-02,2024-02,0
C00122,2024-02,2024-08,5
C00122,2024-02,2025-06,15
C00124,2024-09,2024-09,0
C00126,2024-02,2024-02,0
C00127,2024-03,2024-03,0
C00127,2024-03,2025-07,15
C00128,2024-03,2024-03,0
C00128,2024-03,2024-07,3
C00128,2024-03,2025-08,16
C00129,2025-06,2025-06,0
C00130,2024-09,2024-09,0
C00130,2024-09,2025-07,9
C00130,2024-09,2025-12,14
C00131,2024-01,2024-01,0
C00131,2024-01,2024-02,0
C00131,2024-01,2024-09,7
C00132,2025-08,2025-08,0
C00133,2024-01,2024-01,0
C00133,2024-01,2025-01,11
C00133,2024-01,2025-11,21
C00134,2024-05,2024-05,0
C00134,2024-05,2024-06,0
C00134,2024-05,2025-08,14
C00135,2024-08,2024-08,0
C00135,2024-08,2024-10,2
C00135,2024-08,2025-11,15
C00136,2024-01,2024-01,0
C00138,2024-02,2024-02,0
C00139,2025-02,2025-02,0
C00139,2025-02,2025-03,0
C00140,2024-01,2024-01,0
C00140,2024-01,2024-03,1
C00140,2024-01,2024-04,2
C00140,2024-01,2024-08,6
C00140,2024-01,2025-01,11
C00140,2024-01,2025-08,18
C00140,2024-01,2025-10,20
C00141,2025-01,2025-01,0
