cohort_month,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11
2024-01-01,100.00,10.00,10.93,11.16,9.07,9.30,10.70,10.00,7.67,10.47,8.60,11.86
2024-02-01,100.00,9.04,11.58,10.45,7.91,11.58,6.78,9.04,7.06,6.78,7.91,11.02
2024-03-01,100.00,10.72,12.75,8.12,10.43,9.57,10.14,11.30,11.88,10.72,8.41,9.57
2024-04-01,100.00,10.36,8.57,10.36,8.21,7.86,10.36,10.36,10.36,12.14,7.50,10.36
2024-05-01,100.00,8.18,11.52,8.18,8.18,8.92,8.18,10.78,9.29,8.18,7.43,7.81
2024-06-01,100.00,10.76,5.83,6.73,7.62,7.62,8.52,10.31,8.07,8.52,8.97,7.62
2024-07-01,100.00,7.87,11.11,12.96,9.26,7.41,6.94,11.11,10.65,6.48,8.33,8.80
2024-08-01,100.00,6.11,8.89,8.89,8.33,7.22,10.56,7.78,5.00,10.56,6.67,8.33
2024-09-01,100.00,5.20,10.98,9.25,8.67,5.78,5.78,10.40,10.40,9.83,7.51,10.98
2024-10-01,100.00,6.85,6.16,6.85,7.53,7.53,8.90,10.27,8.90,5.48,8.22,6.85
2024-11-01,100.00,9.66,9.66,6.21,12.41,6.90,10.34,11.72,8.97,8.97,7.59,8.28
2024-12-01,100.00,9.30,10.85,11.63,6.98,4.65,10.08,10.08,11.63,8.53,6.98,8.53
2025-01-01,100.00,6.90,12.07,7.76,10.34,11.21,6.03,4.31,8.62,9.48,6.90,11.21
2025-02-01,100.00,9.62,6.73,4.81,7.69,10.58,9.62,10.58,9.62,7.69,7.69,NULL
2025-03-01,100.00,3.74,9.35,10.28,3.74,8.41,8.41,8.41,13.08,8.41,NULL,NULL
2025-04-01,100.00,5.56,1.11,7.78,6.67,6.67,4.44,6.67,5.56,NULL,NULL,NULL
2025-05-01,100.00,12.22,3.33,8.89,6.67,7.78,7.78,8.89,NULL,NULL,NULL,NULL
2025-06-01,100.00,6.90,9.20,12.64,10.34,8.05,8.05,NULL,NULL,NULL,NULL,NULL
2025-07-01,100.00,7.94,6.35,7.94,6.35,4.76,NULL,NULL,NULL,NULL,NULL,NULL
2025-08-01,100.00,5.00,7.50,12.50,7.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-09-01,100.00,7.84,7.84,13.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-10-01,100.00,1.89,11.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-11-01,100.00,6.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2025-12-01,100.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
