Customer_ID,order_month
C00001,2025-08
C00002,2024-01
C00002,2024-07
C00002,2025-04
C00002,2025-05
C00002,2025-06
C00003,2024-10
C00003,2025-03
C00003,2025-10
C00004,2024-06
C00005,2024-07
C00006,2024-07
C00006,2024-08
C00006,2024-09
C00006,2024-10
C00006,2025-02
C00006,2025-10
C00007,2025-08
C00007,2025-11
C00008,2024-06
C00008,2024-10
C00008,2024-12
C00008,2025-01
C00008,2025-05
C00009,2024-08
C00009,2024-12
C00010,2024-06
C00010,2025-01
C00010,2025-06
C00010,2025-09
C00011,2025-08
C00011,2025-12
C00012,2024-06
C00012,2024-11
C00012,2025-01
C00012,2025-05
C00012,2025-10
C00014,2025-07
C00016,2024-01
C00016,2024-02
C00016,2024-11
C00016,2025-05
C00017,2024-02
C00017,2024-12
C00018,2025-09
C00018,2025-10
C00018,2025-11
C00019,2024-02
C00020,2025-01
C00021,2025-01
C00021,2025-06
C00022,2024-01
C00022,2024-02
C00022,2024-12
C00022,2025-03
C00022,2025-07
C00024,2024-09
C00024,2025-04
C00024,2025-08
C00024,2025-09
C00025,2024-01
C00025,2025-04
C00026,2024-02
C00026,2024-05
C00026,2025-01
C00027,2025-05
C00029,2024-05
C00029,2024-07
C00029,2025-06
C00030,2024-08
C00030,2025-09
C00031,2024-03
C00031,2024-08
C00031,2025-02
C00031,2025-03
C00032,2025-02
C00033,2025-04
C00034,2024-08
C00034,2025-02
C00035,2024-02
C00035,2025-01
C00035,2025-09
C00036,2024-07
C00036,2025-03
C00036,2025-11
C00037,2025-09
C00038,2025-02
C00038,2025-07
C00039,2024-04
C00039,2024-11
C00039,2024-12
C00039,2025-03
C00039,2025-06
C00039,2025-10
C00039,2025-12
C00040,2025-12
C00043,2025-11
C00044,2024-07
C00044,2024-12
C00044,2025-04
C00044,2025-11
C00044,2025-12
C00047,2024-08
C00047,2025-04
C00047,2025-10
C00047,2025-11
C00048,2024-09
C00050,2024-02
C00050,2025-06
C00050,2025-11
C00051,2024-06
C00051,2025-06
C00051,2025-08
C00052,2024-05
C00052,2024-10
C00052,2025-01
C00052,2025-05
C00052,2025-10
C00053,2025-08
C00054,2025-09
C00055,2024-02
C00055,2025-05
C00055,2025-12
C00056,2024-06
C00056,2024-09
C00056,2025-02
C00057,2024-04
C00057,2024-09
C00057,2025-09
C00058,2024-10
C00058,2025-07
C00060,2025-12
C00062,2024-09
C00065,2024-07
C00065,2024-10
C00065,2025-11
C00067,2025-02
C00071,2024-03
C00071,2024-06
C00071,2024-11
C00073,2025-04
C00074,2024-07
C00074,2024-08
C00074,2025-03
C00075,2024-11
C00075,2025-01
C00075,2025-03
C00076,2024-07
C00077,2024-02
C00078,2024-07
C00078,2024-09
C00078,2024-11
C00078,2025-05
C00079,2024-04
C00079,2024-05
C00079,2025-09
C00080,2024-06
C00080,2025-01
C00081,2025-05
C00082,2024-03
C00082,2024-08
C00082,2025-08
C00082,2025-09
C00083,2024-07
C00083,2024-09
C00084,2024-04
C00085,2025-08
C00086,2024-02
C00086,2024-03
C00086,2024-05
C00086,2024-07
C00086,2024-10
C00086,2025-02
C00086,2025-03
C00086,2025-04
C00086,2025-08
C00087,2024-07
C00087,2025-03
C00087,2025-12
C00088,2024-02
C00088,2024-07
C00088,2025-12
C00089,2024-06
C00090,2025-07
C00091,2025-11
C00092,2025-08
C00093,2024-01
C00094,2025-12
C00097,2024-10
C00098,2024-05
C00098,2024-07
C00098,2024-12
C00098,2025-05
C00100,2025-03
C00100,2025-11
C00103,2024-05
C00104,2025-03
C00106,2025-08
C00106,2025-09
C00107,2024-05
C00107,2024-06
C00107,2025-10
C00107,2025-12
C00108,2024-02
C00108,2024-05
C00108,2024-08
C00108,2025-02
C00108,2025-05
C00108,2025-08
C00109,2024-01
C00109,2024-02
C00109,2024-11
C00109,2025-11
C00110,2024-05
C00110,2024-09
C00110,2024-10
C00110,2025-03
C00110,2025-11
C00112,2024-02
C00112,2025-04
C00112,2025-05
C00112,2025-09
C00113,2025-12
C00115,2024-08
C00115,2024-11
C00116,2024-05
C00116,2024-12
C00117,2024-06
C00117,2025-09
C00118,2024-10
C00120,2024-03
C00120,2024-12
C00120,2025-06
C00121,2024-01
C00121,2024-02
C00121,2024-06
C00121,2024-08
C00121,2024-12
C00121,2025-01
C00121,2025-06
C00122,2024-02
C00122,2024-08
C00122,2025-06
C00124,2024-09
C00126,2024-02
C00127,2024-03
C00127,2025-07
C00128,2024-03
C00128,2024-07
C00128,2025-08
C00129,2025-06
C00130,2024-09
C00130,2025-07
C00130,2025-12
C00131,2024-01
C00131,2024-02
C00131,2024-09
C00132,2025-08
C00133,2024-01
C00133,2025-01
C00133,2025-11
C00134,2024-05
C00134,2024-06
C00134,2025-08
C00135,2024-08
C00135,2024-10
C00135,2025-11
C00136,2024-01
C00138,2024-02
C00139,2025-02
C00139,2025-03
C00140,2024-01
C00140,2024-03
C00140,2024-04
C00140,2024-08
C00140,2025-01
C00140,2025-08
C00140,2025-10
C00141,2025-01
C00141,2025-10
C00142,2024-07
C00142,2025-05
C00142,2025-07
C00143,2024-12
C00143,2025-03
C00144,2024-08
C00144,2025-01
C00145,2025-12
C00146,2024-03
C00146,2024-04
C00146,2024-05
C00146,2024-06
C00146,2025-07
C00146,2025-11
C00147,2024-02
C00147,2024-04
C00147,2025-01
C00148,2024-03
C00148,2025-06
C00149,2024-03
C00149,2025-06
C00150,2024-07
C00150,2024-10
C00151,2024-02
C00151,2024-04
C00151,2024-10
C00151,2025-06
C00151,2025-09
C00152,2024-04
C00152,2024-05
C00152,2025-04
C00152,2025-12
C00154,2024-03
C00154,2024-04
C00154,2024-06
C00154,2024-10
C00154,2025-05
C00155,2024-01
C00155,2024-04
C00155,2024-08
C00156,2024-10
C00157,2025-03
C00157,2025-06
C00158,2024-11
C00158,2025-06
C00159,2024-03
C00160,2024-01
C00160,2024-08
C00160,2025-07
C00160,2025-11
C00162,2024-02
C00163,2025-03
C00164,2025-02
C00164,2025-08
C00165,2024-04
C00166,2024-08
C00167,2025-05
C00167,2025-12
C00168,2024-04
C00168,2024-10
C00168,2025-08
C00169,2024-11
C00169,2025-06
C00169,2025-08
C00169,2025-11
C00170,2024-02
C00170,2024-03
C00170,2024-04
