Customer_ID,first_order_date,cohort_month
C01358,2024-01-01,2024-01
C04093,2024-01-01,2024-01
C04694,2024-01-01,2024-01
C01308,2024-01-01,2024-01
C04713,2024-01-01,2024-01
C01177,2024-01-01,2024-01
C00821,2024-01-01,2024-01
C00016,2024-01-01,2024-01
C03442,2024-01-01,2024-01
C03168,2024-01-01,2024-01
C04293,2024-01-01,2024-01
C00531,2024-01-01,2024-01
C01284,2024-01-01,2024-01
C02185,2024-01-02,2024-01
C01378,2024-01-02,2024-01
C02881,2024-01-02,2024-01
C04796,2024-01-02,2024-01
C00278,2024-01-02,2024-01
C00002,2024-01-02,2024-01
C04475,2024-01-02,2024-01
C01532,2024-01-02,2024-01
C01294,2024-01-02,2024-01
C02670,2024-01-02,2024-01
C00109,2024-01-02,2024-01
C04572,2024-01-02,2024-01
C03013,2024-01-02,2024-01
C04438,2024-01-02,2024-01
C00765,2024-01-02,2024-01
C00192,2024-01-03,2024-01
C04316,2024-01-03,2024-01
C04582,2024-01-03,2024-01
C01622,2024-01-03,2024-01
C02393,2024-01-03,2024-01
C03694,2024-01-03,2024-01
C04633,2024-01-03,2024-01
C02064,2024-01-03,2024-01
C01307,2024-01-03,2024-01
C02167,2024-01-03,2024-01
C04676,2024-01-03,2024-01
C02680,2024-01-03,2024-01
C02843,2024-01-03,2024-01
C04066,2024-01-03,2024-01
C04745,2024-01-03,2024-01
C03885,2024-01-03,2024-01
C02231,2024-01-04,2024-01
C04147,2024-01-04,2024-01
C01483,2024-01-04,2024-01
C01511,2024-01-04,2024-01
C02930,2024-01-04,2024-01
C01867,2024-01-04,2024-01
C00377,2024-01-04,2024-01
C02669,2024-01-04,2024-01
C02201,2024-01-04,2024-01
C00093,2024-01-04,2024-01
C02270,2024-01-04,2024-01
C00971,2024-01-05,2024-01
C03864,2024-01-05,2024-01
C02211,2024-01-05,2024-01
C04650,2024-01-05,2024-01
C02649,2024-01-05,2024-01
C03379,2024-01-05,2024-01
C01800,2024-01-05,2024-01
C00863,2024-01-05,2024-01
C03646,2024-01-05,2024-01
C04743,2024-01-05,2024-01
C03509,2024-01-05,2024-01
C02961,2024-01-06,2024-01
C00857,2024-01-06,2024-01
C02889,2024-01-06,2024-01
C02416,2024-01-06,2024-01
C02782,2024-01-06,2024-01
C04134,2024-01-06,2024-01
C02504,2024-01-06,2024-01
C04680,2024-01-06,2024-01
C04707,2024-01-06,2024-01
C02500,2024-01-06,2024-01
C02102,2024-01-06,2024-01
C00714,2024-01-06,2024-01
C03385,2024-01-06,2024-01
C00451,2024-01-06,2024-01
C03236,2024-01-07,2024-01
C01305,2024-01-07,2024-01
C04198,2024-01-07,2024-01
C03238,2024-01-07,2024-01
C00379,2024-01-07,2024-01
C04358,2024-01-07,2024-01
C03001,2024-01-07,2024-01
C04540,2024-01-07,2024-01
C00855,2024-01-07,2024-01
C04127,2024-01-07,2024-01
C01591,2024-01-07,2024-01
C02362,2024-01-08,2024-01
C03334,2024-01-08,2024-01
C03473,2024-01-08,2024-01
C01673,2024-01-08,2024-01
C01848,2024-01-08,2024-01
C01678,2024-01-08,2024-01
C03715,2024-01-08,2024-01
C00289,2024-01-08,2024-01
C05000,2024-01-08,2024-01
C04665,2024-01-08,2024-01
C03633,2024-01-08,2024-01
C04307,2024-01-08,2024-01
C03132,2024-01-08,2024-01
C00925,2024-01-08,2024-01
C01280,2024-01-08,2024-01
C02463,2024-01-08,2024-01
C01018,2024-01-08,2024-01
C00848,2024-01-08,2024-01
C03643,2024-01-08,2024-01
C02939,2024-01-08,2024-01
C04376,2024-01-09,2024-01
C00758,2024-01-09,2024-01
C03671,2024-01-09,2024-01
C02760,2024-01-09,2024-01
C02761,2024-01-09,2024-01
C03592,2024-01-09,2024-01
C04330,2024-01-09,2024-01
C01425,2024-01-09,2024-01
C03942,2024-01-09,2024-01
C00907,2024-01-09,2024-01
C02344,2024-01-09,2024-01
C00938,2024-01-09,2024-01
C01036,2024-01-09,2024-01
C01583,2024-01-09,2024-01
C01342,2024-01-10,2024-01
C03086,2024-01-10,2024-01
C03693,2024-01-10,2024-01
C01146,2024-01-10,2024-01
C04774,2024-01-10,2024-01
C00843,2024-01-10,2024-01
C01921,2024-01-10,2024-01
C01838,2024-01-10,2024-01
C01729,2024-01-10,2024-01
C03455,2024-01-10,2024-01
C00905,2024-01-10,2024-01
C03018,2024-01-10,2024-01
C02593,2024-01-10,2024-01
C00738,2024-01-10,2024-01
C03984,2024-01-10,2024-01
C04002,2024-01-10,2024-01
C03349,2024-01-10,2024-01
C00668,2024-01-10,2024-01
C04250,2024-01-11,2024-01
C04254,2024-01-11,2024-01
C04542,2024-01-11,2024-01
C02426,2024-01-11,2024-01
C02913,2024-01-11,2024-01
C01496,2024-01-11,2024-01
C03117,2024-01-11,2024-01
C04935,2024-01-11,2024-01
C03260,2024-01-11,2024-01
C02583,2024-01-11,2024-01
C01860,2024-01-11,2024-01
C03366,2024-01-11,2024-01
C00335,2024-01-11,2024-01
C03315,2024-01-12,2024-01
C03114,2024-01-12,2024-01
C03976,2024-01-12,2024-01
C01932,2024-01-12,2024-01
C03207,2024-01-12,2024-01
C01980,2024-01-12,2024-01
C03399,2024-01-12,2024-01
C01224,2024-01-12,2024-01
C01576,2024-01-12,2024-01
C01370,2024-01-12,2024-01
C04417,2024-01-12,2024-01
C02429,2024-01-12,2024-01
C04829,2024-01-13,2024-01
C02013,2024-01-13,2024-01
C01580,2024-01-13,2024-01
C04910,2024-01-13,2024-01
C04645,2024-01-13,2024-01
C02434,2024-01-13,2024-01
C02484,2024-01-13,2024-01
C01554,2024-01-13,2024-01
C03594,2024-01-13,2024-01
C02499,2024-01-14,2024-01
C03656,2024-01-14,2024-01
C01095,2024-01-14,2024-01
C02121,2024-01-14,2024-01
C00022,2024-01-14,2024-01
C04516,2024-01-14,2024-01
C01770,2024-01-14,2024-01
C00739,2024-01-14,2024-01
C02775,2024-01-14,2024-01
C02537,2024-01-14,2024-01
C00182,2024-01-14,2024-01
C03644,2024-01-14,2024-01
C01559,2024-01-15,2024-01
C00140,2024-01-15,2024-01
C03775,2024-01-15,2024-01
C00203,2024-01-15,2024-01
C01312,2024-01-15,2024-01
C01885,2024-01-15,2024-01
C03571,2024-01-15,2024-01
C01133,2024-01-15,2024-01
C00219,2024-01-15,2024-01
C03703,2024-01-16,2024-01
C02073,2024-01-16,2024-01
C04926,2024-01-16,2024-01
C01843,2024-01-16,2024-01
C03677,2024-01-16,2024-01
C04537,2024-01-16,2024-01
C00393,2024-01-16,2024-01
C03411,2024-01-16,2024-01
C03905,2024-01-16,2024-01
C00871,2024-01-16,2024-01
C04914,2024-01-16,2024-01
C04714,2024-01-16,2024-01
C01421,2024-01-16,2024-01
C01010,2024-01-16,2024-01
C02562,2024-01-16,2024-01
C00819,2024-01-16,2024-01
C03719,2024-01-16,2024-01
C03733,2024-01-16,2024-01
C00312,2024-01-16,2024-01
C02392,2024-01-17,2024-01
C01268,2024-01-17,2024-01
C02098,2024-01-17,2024-01
C02903,2024-01-17,2024-01
C01726,2024-01-17,2024-01
C00673,2024-01-17,2024-01
C00579,2024-01-17,2024-01
C01359,2024-01-17,2024-01
C01825,2024-01-17,2024-01
C04370,2024-01-17,2024-01
C03931,2024-01-17,2024-01
C04845,2024-01-17,2024-01
C03276,2024-01-17,2024-01
C01438,2024-01-17,2024-01
C01984,2024-01-17,2024-01
C03432,2024-01-17,2024-01
C00689,2024-01-18,2024-01
C03892,2024-01-18,2024-01
C02612,2024-01-18,2024-01
C03269,2024-01-18,2024-01
C04989,2024-01-18,2024-01
C04818,2024-01-18,2024-01
C00228,2024-01-18,2024-01
C02631,2024-01-18,2024-01
C02590,2024-01-18,2024-01
C01589,2024-01-18,2024-01
C01119,2024-01-18,2024-01
C02199,2024-01-18,2024-01
C00831,2024-01-18,2024-01
C00386,2024-01-18,2024-01
C03804,2024-01-19,2024-01
C01943,2024-01-19,2024-01
C00121,2024-01-19,2024-01
C03291,2024-01-19,2024-01
C00188,2024-01-19,2024-01
C03006,2024-01-19,2024-01
C03619,2024-01-19,2024-01
C04619,2024-01-19,2024-01
C03507,2024-01-19,2024-01
C02301,2024-01-19,2024-01
C00406,2024-01-20,2024-01
C00884,2024-01-20,2024-01
C03893,2024-01-20,2024-01
C04116,2024-01-20,2024-01
C01216,2024-01-20,2024-01
C02294,2024-01-20,2024-01
C01701,2024-01-20,2024-01
C04469,2024-01-20,2024-01
C04623,2024-01-20,2024-01
C01441,2024-01-20,2024-01
C03557,2024-01-20,2024-01
C04223,2024-01-20,2024-01
C00524,2024-01-20,2024-01
C01508,2024-01-20,2024-01
C02347,2024-01-20,2024-01
C02630,2024-01-20,2024-01
C02332,2024-01-21,2024-01
C01125,2024-01-21,2024-01
C01135,2024-01-21,2024-01
C00480,2024-01-21,2024-01
C02458,2024-01-21,2024-01
C04140,2024-01-21,2024-01
C03491,2024-01-21,2024-01
C00684,2024-01-21,2024-01
C00846,2024-01-21,2024-01
C02486,2024-01-21,2024-01
C03812,2024-01-21,2024-01
C00133,2024-01-21,2024-01
C04429,2024-01-21,2024-01
C04149,2024-01-21,2024-01
C02840,2024-01-21,2024-01
C02068,2024-01-21,2024-01
C01100,2024-01-21,2024-01
C04388,2024-01-22,2024-01
C04644,2024-01-22,2024-01
C02972,2024-01-22,2024-01
C00505,2024-01-22,2024-01
C00805,2024-01-22,2024-01
C03517,2024-01-22,2024-01
C01321,2024-01-22,2024-01
C02595,2024-01-22,2024-01
C00207,2024-01-22,2024-01
C04927,2024-01-22,2024-01
C04960,2024-01-22,2024-01
C00747,2024-01-22,2024-01
C01243,2024-01-22,2024-01
C03711,2024-01-23,2024-01
C04074,2024-01-23,2024-01
C03865,2024-01-23,2024-01
C02136,2024-01-23,2024-01
C02457,2024-01-23,2024-01
C01295,2024-01-23,2024-01
C04585,2024-01-23,2024-01
C02083,2024-01-23,2024-01
C00479,2024-01-23,2024-01
C02726,2024-01-23,2024-01
C00136,2024-01-23,2024-01
C01642,2024-01-23,2024-01
C03261,2024-01-23,2024-01
C03858,2024-01-24,2024-01
C02916,2024-01-24,2024-01
C04222,2024-01-24,2024-01
C03637,2024-01-24,2024-01
C02858,2024-01-24,2024-01
C02963,2024-01-24,2024-01
C03817,2024-01-24,2024-01
C00319,2024-01-24,2024-01
C00956,2024-01-24,2024-01
C01741,2024-01-24,2024-01
C03515,2024-01-24,2024-01
C01349,2024-01-25,2024-01
C00339,2024-01-25,2024-01
C02502,2024-01-25,2024-01
C01937,2024-01-25,2024-01
C03324,2024-01-25,2024-01
C00334,2024-01-25,2024-01
C04077,2024-01-25,2024-01
C03991,2024-01-25,2024-01
C00957,2024-01-25,2024-01
C03050,2024-01-25,2024-01
C04972,2024-01-25,2024-01
C02667,2024-01-25,2024-01
C04592,2024-01-25,2024-01
C00666,2024-01-25,2024-01
C01077,2024-01-25,2024-01
C03655,2024-01-25,2024-01
C02289,2024-01-25,2024-01
C03877,2024-01-25,2024-01
C03488,2024-01-26,2024-01
C04365,2024-01-26,2024-01
C04722,2024-01-26,2024-01
C03985,2024-01-26,2024-01
C01982,2024-01-26,2024-01
C02541,2024-01-26,2024-01
C01740,2024-01-26,2024-01
C02360,2024-01-26,2024-01
C04200,2024-01-26,2024-01
C00025,2024-01-26,2024-01
C02474,2024-01-26,2024-01
C00265,2024-01-26,2024-01
C00173,2024-01-26,2024-01
C02302,2024-01-27,2024-01
C03580,2024-01-27,2024-01
C02472,2024-01-27,2024-01
C01758,2024-01-27,2024-01
C03680,2024-01-27,2024-01
C02359,2024-01-27,2024-01
C03344,2024-01-27,2024-01
C02532,2024-01-27,2024-01
C00548,2024-01-27,2024-01
C03618,2024-01-27,2024-01
C04016,2024-01-27,2024-01
C04498,2024-01-27,2024-01
C04579,2024-01-28,2024-01
C00155,2024-01-28,2024-01
C01561,2024-01-28,2024-01
C04484,2024-01-28,2024-01
C01868,2024-01-28,2024-01
C03543,2024-01-28,2024-01
C00604,2024-01-28,2024-01
C01996,2024-01-28,2024-01
C03529,2024-01-28,2024-01
C02576,2024-01-28,2024-01
C01089,2024-01-28,2024-01
C01092,2024-01-28,2024-01
C02893,2024-01-28,2024-01
C04019,2024-01-28,2024-01
C00543,2024-01-28,2024-01
C04089,2024-01-29,2024-01
C03235,2024-01-29,2024-01
C01973,2024-01-29,2024-01
C00403,2024-01-29,2024-01
C04856,2024-01-29,2024-01
C03682,2024-01-29,2024-01
C03156,2024-01-29,2024-01
C01920,2024-01-29,2024-01
C00131,2024-01-29,2024-01
C02022,2024-01-29,2024-01
C01776,2024-01-29,2024-01
C02435,2024-01-29,2024-01
C02109,2024-01-29,2024-01
C03436,2024-01-29,2024-01
C03605,2024-01-30,2024-01
C00549,2024-01-30,2024-01
C04064,2024-01-30,2024-01
C02094,2024-01-30,2024-01
C00160,2024-01-30,2024-01
C00974,2024-01-30,2024-01
C04928,2024-01-30,2024-01
C04953,2024-01-30,2024-01
C00622,2024-01-30,2024-01
C03498,2024-01-30,2024-01
C04879,2024-01-30,2024-01
C02487,2024-01-30,2024-01
C02856,2024-01-30,2024-01
C03308,2024-01-30,2024-01
C03336,2024-01-30,2024-01
C03634,2024-01-30,2024-01
C04041,2024-01-30,2024-01
C02942,2024-01-30,2024-01
C04685,2024-01-30,2024-01
C02009,2024-01-30,2024-01
C01657,2024-01-30,2024-01
C03518,2024-01-30,2024-01
C04483,2024-01-31,2024-01
C01148,2024-01-31,2024-01
C03397,2024-01-31,2024-01
C02735,2024-01-31,2024-01
C00645,2024-01-31,2024-01
C00648,2024-01-31,2024-01
C02103,2024-01-31,2024-01
C01236,2024-01-31,2024-01
C03674,2024-01-31,2024-01
C02629,2024-02-01,2024-02
C03149,2024-02-01,2024-02
C01671,2024-02-01,2024-02
C04040,2024-02-01,2024-02
C02646,2024-02-01,2024-02
C01575,2024-02-01,2024-02
C00190,2024-02-01,2024-02
C04791,2024-02-01,2024-02
C01857,2024-02-02,2024-02
C02014,2024-02-02,2024-02
C03768,2024-02-02,2024-02
C02120,2024-02-02,2024-02
C02128,2024-02-02,2024-02
C03795,2024-02-02,2024-02
C03360,2024-02-02,2024-02
C01517,2024-02-02,2024-02
C00465,2024-02-02,2024-02
C01198,2024-02-02,2024-02
C03689,2024-02-02,2024-02
C03184,2024-02-03,2024-02
C02361,2024-02-03,2024-02
C02684,2024-02-03,2024-02
C01826,2024-02-03,2024-02
C03041,2024-02-03,2024-02
C02471,2024-02-03,2024-02
C04100,2024-02-03,2024-02
C00229,2024-02-03,2024-02
C01971,2024-02-03,2024-02
C03014,2024-02-03,2024-02
C00609,2024-02-03,2024-02
C01061,2024-02-03,2024-02
C02461,2024-02-03,2024-02
C01872,2024-02-03,2024-02
C03886,2024-02-03,2024-02
C04737,2024-02-03,2024-02
C00696,2024-02-03,2024-02
C04152,2024-02-03,2024-02
C04545,2024-02-04,2024-02
C01911,2024-02-04,2024-02
C04477,2024-02-04,2024-02
C01809,2024-02-04,2024-02
C01711,2024-02-04,2024-02
C00924,2024-02-04,2024-02
C02621,2024-02-04,2024-02
C02685,2024-02-04,2024-02
C03133,2024-02-04,2024-02
C00834,2024-02-04,2024-02
C00508,2024-02-04,2024-02
C00440,2024-02-04,2024-02
C04440,2024-02-04,2024-02
C03423,2024-02-04,2024-02
C00330,2024-02-04,2024-02
C01193,2024-02-04,2024-02
C02866,2024-02-04,2024-02
C00035,2024-02-04,2024-02
C02310,2024-02-04,2024-02
C00077,2024-02-04,2024-02
C04025,2024-02-04,2024-02
C04555,2024-02-05,2024-02
C03724,2024-02-05,2024-02
C01355,2024-02-05,2024-02
C01354,2024-02-05,2024-02
C00948,2024-02-05,2024-02
C03686,2024-02-05,2024-02
C01694,2024-02-05,2024-02
C00462,2024-02-05,2024-02
C03993,2024-02-05,2024-02
C00779,2024-02-05,2024-02
C00703,2024-02-05,2024-02
C03754,2024-02-05,2024-02
C04018,2024-02-05,2024-02
C01008,2024-02-05,2024-02
C04394,2024-02-05,2024-02
C01727,2024-02-06,2024-02
C00112,2024-02-06,2024-02
C01330,2024-02-06,2024-02
C00820,2024-02-06,2024-02
C00108,2024-02-06,2024-02
C00902,2024-02-06,2024-02
C02701,2024-02-06,2024-02
C01744,2024-02-06,2024-02
C02733,2024-02-06,2024-02
C04511,2024-02-06,2024-02
C03303,2024-02-06,2024-02
C00382,2024-02-06,2024-02
C03688,2024-02-06,2024-02
C00170,2024-02-07,2024-02
C00245,2024-02-07,2024-02
C00897,2024-02-07,2024-02
C04595,2024-02-07,2024-02
C01839,2024-02-07,2024-02
C04518,2024-02-07,2024-02
C01141,2024-02-07,2024-02
C00582,2024-02-08,2024-02
C02844,2024-02-08,2024-02
C03323,2024-02-08,2024-02
C02539,2024-02-08,2024-02
C04337,2024-02-08,2024-02
C01806,2024-02-08,2024-02
C01977,2024-02-08,2024-02
C01781,2024-02-08,2024-02
C04033,2024-02-08,2024-02
C03956,2024-02-08,2024-02
C02030,2024-02-08,2024-02
C03489,2024-02-08,2024-02
C04309,2024-02-08,2024-02
C04217,2024-02-08,2024-02
C02174,2024-02-08,2024-02
C04677,2024-02-08,2024-02
C04439,2024-02-08,2024-02
C03453,2024-02-08,2024-02
C00872,2024-02-08,2024-02
C00474,2024-02-08,2024-02
C04842,2024-02-09,2024-02
C01653,2024-02-09,2024-02
C03496,2024-02-09,2024-02
C00935,2024-02-09,2024-02
C04917,2024-02-09,2024-02
C04137,2024-02-09,2024-02
C03395,2024-02-09,2024-02
C03100,2024-02-09,2024-02
C04735,2024-02-09,2024-02
C02656,2024-02-09,2024-02
C03299,2024-02-09,2024-02
C00230,2024-02-09,2024-02
C04648,2024-02-09,2024-02
C03990,2024-02-09,2024-02
C01881,2024-02-10,2024-02
C03901,2024-02-10,2024-02
C02993,2024-02-10,2024-02
C02598,2024-02-10,2024-02
C04988,2024-02-10,2024-02
C01953,2024-02-10,2024-02
C01892,2024-02-10,2024-02
C00675,2024-02-10,2024-02
C00669,2024-02-10,2024-02
C01886,2024-02-10,2024-02
C01277,2024-02-10,2024-02
C04206,2024-02-10,2024-02
C02622,2024-02-11,2024-02
C02960,2024-02-11,2024-02
C03826,2024-02-11,2024-02
C01157,2024-02-11,2024-02
C01022,2024-02-11,2024-02
C02186,2024-02-11,2024-02
C00494,2024-02-11,2024-02
C01145,2024-02-11,2024-02
C03947,2024-02-11,2024-02
C03060,2024-02-11,2024-02
C02275,2024-02-12,2024-02
C04631,2024-02-12,2024-02
C01873,2024-02-12,2024-02
C00086,2024-02-12,2024-02
C04471,2024-02-12,2024-02
C03272,2024-02-12,2024-02
C02227,2024-02-12,2024-02
C01640,2024-02-12,2024-02
C04628,2024-02-12,2024-02
C01643,2024-02-12,2024-02
C03888,2024-02-12,2024-02
C00861,2024-02-12,2024-02
C03005,2024-02-12,2024-02
C04339,2024-02-13,2024-02
C04744,2024-02-13,2024-02
C02040,2024-02-13,2024-02
C04754,2024-02-13,2024-02
C04660,2024-02-13,2024-02
C03204,2024-02-13,2024-02
C02803,2024-02-13,2024-02
C00026,2024-02-13,2024-02
C02890,2024-02-13,2024-02
C04111,2024-02-13,2024-02
C02586,2024-02-14,2024-02
C03413,2024-02-14,2024-02
C02644,2024-02-14,2024-02
C04448,2024-02-14,2024-02
C00425,2024-02-14,2024-02
C00318,2024-02-14,2024-02
C00470,2024-02-14,2024-02
C03565,2024-02-14,2024-02
C01188,2024-02-14,2024-02
C03392,2024-02-14,2024-02
C02266,2024-02-14,2024-02
C04435,2024-02-14,2024-02
C01807,2024-02-14,2024-02
C01934,2024-02-15,2024-02
C00959,2024-02-15,2024-02
C03829,2024-02-15,2024-02
C03176,2024-02-15,2024-02
C01395,2024-02-15,2024-02
C04864,2024-02-15,2024-02
C00138,2024-02-15,2024-02
C00352,2024-02-15,2024-02
C04377,2024-02-15,2024-02
C01955,2024-02-15,2024-02
C02759,2024-02-15,2024-02
C01110,2024-02-16,2024-02
C04356,2024-02-16,2024-02
C02268,2024-02-16,2024-02
C01348,2024-02-16,2024-02
C03797,2024-02-16,2024-02
C01081,2024-02-16,2024-02
C00088,2024-02-16,2024-02
C03030,2024-02-16,2024-02
C01209,2024-02-16,2024-02
C02927,2024-02-16,2024-02
C03459,2024-02-16,2024-02
C03363,2024-02-16,2024-02
C02603,2024-02-17,2024-02
C03651,2024-02-17,2024-02
C03474,2024-02-17,2024-02
C03327,2024-02-17,2024-02
C04163,2024-02-17,2024-02
C00976,2024-02-17,2024-02
C00302,2024-02-17,2024-02
C00162,2024-02-17,2024-02
C00055,2024-02-17,2024-02
C03923,2024-02-17,2024-02
C00850,2024-02-17,2024-02
C03337,2024-02-17,2024-02
C03239,2024-02-17,2024-02
C03049,2024-02-18,2024-02
C02732,2024-02-18,2024-02
C04787,2024-02-18,2024-02
C03012,2024-02-18,2024-02
C04480,2024-02-18,2024-02
C02698,2024-02-18,2024-02
C03064,2024-02-18,2024-02
C00493,2024-02-19,2024-02
C00965,2024-02-19,2024-02
C00388,2024-02-19,2024-02
C04450,2024-02-19,2024-02
C00849,2024-02-19,2024-02
C02082,2024-02-19,2024-02
C01599,2024-02-19,2024-02
C03748,2024-02-19,2024-02
C00220,2024-02-19,2024-02
C04577,2024-02-19,2024-02
C04811,2024-02-19,2024-02
C02788,2024-02-19,2024-02
C03058,2024-02-19,2024-02
C02882,2024-02-20,2024-02
C01762,2024-02-20,2024-02
C02796,2024-02-20,2024-02
C04030,2024-02-20,2024-02
C03685,2024-02-20,2024-02
C04121,2024-02-20,2024-02
C00175,2024-02-20,2024-02
C01709,2024-02-20,2024-02
C01582,2024-02-20,2024-02
C00535,2024-02-20,2024-02
C00725,2024-02-20,2024-02
C04156,2024-02-20,2024-02
C00050,2024-02-21,2024-02
C03632,2024-02-21,2024-02
C00899,2024-02-21,2024-02
C00353,2024-02-21,2024-02
C03212,2024-02-21,2024-02
C01062,2024-02-21,2024-02
C02156,2024-02-21,2024-02
C00147,2024-02-21,2024-02
C03402,2024-02-21,2024-02
C02238,2024-02-21,2024-02
C02967,2024-02-22,2024-02
C04656,2024-02-22,2024-02
C00419,2024-02-22,2024-02
C03980,2024-02-22,2024-02
C03932,2024-02-22,2024-02
C04937,2024-02-22,2024-02
C02410,2024-02-22,2024-02
C01437,2024-02-22,2024-02
C02728,2024-02-22,2024-02
C01460,2024-02-22,2024-02
C00310,2024-02-22,2024-02
C02475,2024-02-22,2024-02
C00881,2024-02-22,2024-02
C03608,2024-02-22,2024-02
C00224,2024-02-22,2024-02
